insee,libelle1,libelle2,voie_num,voie_type,voie_nom,local,voie,CPBIBLIO,CEDEXB,BP,ville,DEPT,REGION,population_legale
59092,Mediatheque Communautaire De L'ostrevant,,,ESPLANADE,DU GÉNÉRAL DE GAULLE,,ESPLANADE DU GÉNÉRAL DE GAULLE,59111,,,Bouchain,59,31,4071
59094,Mediatheque Municipale,,,RUE,JEAN VARLET,,RUE JEAN VARLET,59630,,,Bourbourg,59,31,7126
59096,Médiathèque Bourghelles,,,Chemin,des Valettes,,Chemin des Valettes,59830,,,Bourghelles,59,31,1626
59097,Bibliothèque municipale,,16,route,Nationale,,16 route Nationale,62147,,,Boursies,59,31,348
59099,Bibliothèque Municipale,,,rue,de l'Egalité,,rue de l'Egalité,59222,,,Bousies,59,31,1722
59101,Bibliotheque Municipale,,,RUE,DE LANDIGNIES,,RUE DE LANDIGNIES,59149,,,Bousignies-sur-Roc,59,31,444
59102,Bibliothèque De Boussières-En-Cambrésis,,1,rue,Piton,,1 rue piton,59217,,,Boussières-en-Cambrésis,59,31,437
59104,Bibliothèque Municipale Boris Vian,,,rue,Anatole France,,rue Anatole France,59168,,,Boussois,59,31,3268
59105,Mediathèque De Bouvignies,,295,rue,de la Place,,295 rue de la Place,59870,,,Bouvignies,59,31,1557
59107,Mediatheque Municipale,,,PLACE,DE LA GARE,,PLACE DE LA GARE,59123,,,Bray-Dunes,59,31,4697
59110,Médiathèque Le Cygne,Brouckerque,1,rue,de Coppenaxfort,,1 rue de Coppenaxfort,59630,,,Brouckerque,59,31,1309
59112,Mediatheque Municipale,,1,RUE,WALDECK ROUSSEAU,BP 1,1 RUE WALDECK ROUSSEAU,59860,,,Bruay-sur-l'Escaut,59,31,12263
59113,Bibliothèque Municipale,,,Rue,Roger Salengro,,Rue Roger Salengro,59490,,,Bruille-lez-Marchiennes,59,31,1348
59114,Bibliothèque municipale,,1,rue,LIONEL GUELTON,,1 rue Lionel Guelton,59199,,,Bruille-Saint-Amand,59,31,1676
59115,Bibliothèque,,26,rue,d'en bas,,26 rue d'en bas,59151,,,Brunémont,59,31,683
59119,Mediatheque Municipale,,214,LA PLACE,,,214 LA PLACE,59285,,,Buysscheure,59,31,530
59123,Médiathèque,,8,rue,Général De Gaulle,,8 rue Général De Gaulle,59133,,,Camphin-en-Carembault,59,31,1642
59125,Médiathèque de l'Escaut (Service Municipal),,78,Grande,rue,,78 Grande rue,59267,,,Cantaing-sur-Escaut,59,31,428
59126,Bibliothèque,Mairie,46,Rue,De Cambrai,,46 Rue De Cambrai,59169,,,Cantin,59,31,1492
59128,Bibliotheque Municipale,,58 BIS,RUE,POINCARE,,58 BIS RUE POINCARE,59160,,,Capinghem,59,31,1671
59129,Médiathèque Municipale,,5,rue,de la Ladrerie,,5 rue de la Ladrerie,59242,,,Cappelle-en-Pévèle,59,31,2242
59130,Mediatheque Municipale,,2658,ROUTE,DE BOURBOURG,,2658 ROUTE DE BOURBOURG,59630,,,Cappelle-Brouck,59,31,1159
59131,Bibliotheque Municipale,,,Place,Bernard Gouvart,PALAIS DES ARTS ET DES LOISIRS,Place Bernard Gouvart,59180,,,Cappelle-la-Grande,59,31,8183
59132,Bibliotheque,,,PLACE,DU GENERAL DE GAULLE,,PLACE DU GENERAL DE GAULLE,59217,,,Carnières,59,31,1092
59135,MEDIATHEQUE DE CASSEL,,72 D,RUE,FOCH,,72 D rue FOCH,59670,,,Cassel,59,31,2379
59136,Bibliotheque Municipale,,11,RUE,DU MARCHE AUX CHEVAUX,,11 RUE DU MARCHE AUX CHEVAUX,59360,,,Le Cateau-Cambrésis,59,31,7193
59137,Bibliotheque Municipale,,5,Grand Place,,BP 3,5 Grand Place,59360,,,Catillon-sur-Sambre,59,31,829
59139,Bibliotheque Municipale,,22,RUE,VICTOR HUGO,,22 RUE VICTOR HUGO,59540,,,Caudry,59,31,14824
59140,Bibliotheque Municipale,,05,rue,Jean Macé,,1 rue Jean Macé,59191,,,Caullery,59,31,465
59144,Bibliothèque La Fontaine,,2 bis,rue,de la Fontaine,,2 bis rue de la Fontaine,59230,,,Château-l'Abbaye,59,31,881
59145,Médiathèque Louis Malle,,8,Rue,de la Mairie,,8 Rue de la Mairie,59147,,,Chemy,59,31,684
59148,Mediatheque De Clairfayts,,1,RUE D'EPINOY,,,1 RUE D'EPINOY,59740,,,Clairfayts,59,31,377
59150,Médiathèque,,1,petite rue,,,1 petite rue,59830,,,Cobrieux,59,31,540
59151,Bibliotheque Municipale,,,RUE,DES ÉCOLES,,RUE DES ÉCOLES,59680,,,Colleret,59,31,1710
59152,Médiathèque,DUCARIN,34,RUE,DE quesnoy,,RUE DES ARTS,59560,,,Comines,59,31,12715
59153,"Médiathèque ""Le Quai""",,13,Impasse,Berthelot,,13 Impasse Berthelot,59163,,,Condé-sur-l'Escaut,59,31,9676
59155,Louis Aragon,,3,RUE,HENRI GHESQUIERE,,3 RUE HENRI GHESQUIERE,59210,,,Coudekerque-Branche,59,31,22710
59156,"Médiathèque ""au Fil Des Mots""",,,rue,Fernand Stassin,,rue Fernand Stassin,59552,,,Courchelettes,59,31,2755
59157,Bibliotheque Municipale,,31,rue,E.Cougneau,HOTEL DE VILLE,31 rue E.Cougneau,59149,,,Cousolre,59,31,2421
59158,Médiathèque Municipale,,1325,,route nationale,,1325   route nationale,59310,,,Coutiches,59,31,2866
59160,Bibliotheque Municipale,,,Place THISSE,,,PLACE CHARLES THISSE,59154,,,Crespin,59,31,4531
59161,,,,,,,,,,,Crèvecoeur-sur-l'Escaut,59,31,712
59162,Mediatheque Espace Jacques Brel,,4,MEUNINCK STRAETE,,MAIRIE,4 MEUNINCK STRAETE,59380,,,Crochte,59,31,728
59165,Bibliotheque Municipale Albert Camus,,137,RUE,PASTEUR,,137 RUE PASTEUR,59553,,,Cuincy,59,31,6707
59172,Mediatheque Intercommunale,JACQUES PREVERT,146,RUE,DE VILLARS,,146 RUE DE VILLARS,59220,,,Denain,59,31,20551
59177,Communauté De Communes Du Coeur De L'avesnois,Médiathèque Intercommunale,1bis,rue,d'en haut,,1bis rue d'en haut,59440,,,Dompierre-sur-Helpe,59,31,929
59179,Mediatheque Municipale,MAX-POL FOUCHET,39,PLACE,PAUL ELUARD,,39 RUE PAUL ELUARD,59282,,BP 37,Douchy-les-Mines,59,31,10492
59180,Médiathèque,,,rue,de l'église,annexe de la salle des sports Petitprey,rue de l'église,59940,,,Le Doulieu,59,31,1444
