Mairie gestionnaire;Type d'équipement;Désignation_longue;AP_num;AP_cnu;AP_cp;Ap_voie
MAIRIE DU 19E;Crèche collective;CRÈCHE COLLECTIVE 8, RUE HENRI RIBIÈRE;8;;75019;RUE HENRI RIBIERE
MAIRIE DU 19E;Halte-garderie;HALTE-GARDERIE 10, RUE HENRI RIBIÈRE;10;;75019;RUE HENRI RIBIERE
MAIRIE DU 19E;Halte-garderie;HALTE-GARDERIE 85, RUE CURIAL;85;;75019;RUE CURIAL
MAIRIE DU 19E;Jardins d'enfants;JARDIN D'ENFANTS 327, RUE DE BELLEVILLE;327;;75019;RUE DE BELLEVILLE
MAIRIE DU 19E;Jardin d'enfants OPAC;JARDIN D'ENFANTS OPAC 17,  RUE DE L'ORME;17;;75019;RUE DE L' ORME
MAIRIE DU 19E;Jardin d'enfants OPAC;JARDIN D'ENFANTS OPAC 6 BIS,  RUE DE LA SOLIDARITÉ;6;B;75019;RUE DE LA SOLIDARITE
MAIRIE DU 19E;Crèche familiale;CRÈCHE FAMILIALE 1, RUE DE L'OISE - TOUR G;1;;75019;RUE DE L' OISE
MAIRIE DU 19E;Terrain d'éducation physique;TEP ARCHEREAU;26;;75019;RUE ARCHEREAU
MAIRIE DU 19E;Terrain d'éducation physique;TEP JANDELLE;15;;75019;CITÉ JANDELLE
MAIRIE DU  1ER;Bibliothèque;BIBLIOTHEQUE MUNICIPALE DU LOUVRE;4;;75001;PLACE DU LOUVRE
MAIRIE DU  1ER;Ecole maternelle & annexes;ECOLE MATERNELLE 6 RUE SAINT-GERMAIN L'AUXERROIS;6;;75001;RUE SAINT-GERMAIN L'AUXERROIS
MAIRIE DU  2E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE 42 RUE DUSSOUBS;42;;75002;RUE DUSSOUBS
MAIRIE DU  2E;Ecole polyvalente;ECOLE POLYVALENTE 20 RUE ETIENNE MARCEL;20;;75002;RUE ETIENNE MARCEL
MAIRIE DU  2E;Ecole polyvalente;ECOLE POLYVALENTE 5 RUE BEAUREGARD;5;;75002;RUE BEAUREGARD
MAIRIE DU  2E;Jardinet décoratif, plate-bande;JARDINET DE LA PLACE D'ALEXANDRIE;14;V;75002;RUE D' ALEXANDRIE
MAIRIE DU  2E;Jardinet décoratif, plate-bande;JARDINET DE LA RUE MARIE STUART;14;;75002;RUE MARIE STUART
MAIRIE DU  2E;Pigeonnier;PIGEONNIER DU SQUARE PIERRE LAZAREFF;1;;75002;PLACE PIERRE LAZAREFF
MAIRIE DU  2E;Salles de sports;SALLE JEAN DAME;17;;75002;RUE LEOPOLD BELLAN
MAIRIE DU  3E;Ecole maternelle & annexes;ECOLE MATERNELLE 6 RUE PAUL DUBOIS;6;;75003;RUE PAUL DUBOIS
MAIRIE DU  3E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE 3 RUE BERANGER;3;;75003;RUE BERANGER
MAIRIE DU  3E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE 10 B RUE QUATRE FILS;10;B;75003;RUE DES QUATRE FILS
MAIRIE DU  3E;Maison des associations, locaux associatifs;SALLES ASSOCIATIVES SILVA MONFORT;2;b;75003;RUE ELZEVIR
MAIRIE DU  3E;Promenade ouverte, mail planté, jardin, square;JARDIN ANNE FRANCK (HOTEL SAINT-AIGNAN);14;;75003;IMPASSE BERTHAUD
MAIRIE DU  3E;Promenade ouverte, mail planté, jardin, square;SQUARE SAINT-GILLES GRAND VENEUR - PAULINE ROLAND;9;;75003;RUE DU GRAND VENEUR
MAIRIE DU  3E;Jardinet décoratif, plate-bande;JARDINET 50 RUE DES TOURNELLES;50;;75003;RUE DES TOURNELLES
MAIRIE DU  3E;Crèche collective;CRÈCHE COLLECTIVE 22 BIS, RUE DES FRANCS BOURGEOIS;22;B;75003;RUE DES FRANCS BOURGEOIS
MAIRIE DU  3E;Gymnase;GYMNASE MICHEL LE COMTE;14;;75003;RUE MICHEL LE COMTE
MAIRIE DU  3E;Espace jeune;LOCAL DU CONSEIL DE LA JEUNESSE RUE CAFFARELLI;10;;75003;RUE CAFFARELLI
MAIRIE DU  4E;Ecole élémentaire & annexes;ANNEXE ECOLE ÉLÉMENTAIRE DU 21 RUE SAINT LOUIS EN L'ILE;20;;75004;RUE POULLETIER
MAIRIE DU  4E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE 21 RUE SAINT-LOUIS EN L'ILE;21;;75004;RUE SAINT-LOUIS EN L'ILE
MAIRIE DU  4E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE 22 RUE AVE MARIA;22;;75004;RUE DE L' AVE MARIA
MAIRIE DU  4E;Promenade ouverte, mail planté, jardin, square;JARDIN DES FRANCS BOURGEOIS / RUE DES ROSIERS;37;;75004;RUE DES FRANCS BOURGEOIS
MAIRIE DU  4E;Promenade ouverte, mail planté, jardin, square;SQUARE BARYE;2;;75004;BOULEVARD HENRI IV
MAIRIE DU  4E;Promenade ouverte, mail planté, jardin, square;SQUARE COUPERIN;18;;75004;RUE DES BARRES
MAIRIE DU  4E;Promenade ouverte, mail planté, jardin, square;SQUARE HENRI GALLI;9;;75004;BOULEVARD HENRI IV
MAIRIE DU  4E;Crèche collective;CRÈCHE COLLECTIVE 2-6, RUE DE MOUSSY;2;;75004;RUE DE MOUSSY
MAIRIE DU  4E;Bain-douche;BAINS-DOUCHES DES DEUX PONTS;8;;75004;RUE DES DEUX PONTS
MAIRIE DU  4E;Bain-douche;BAINS-DOUCHES SAINT MERRI;18;B;75004;RUE DU RENARD
MAIRIE DU  5E;Ecole maternelle & annexes;ECOLE MATERNELLE 10 RUE SOMMERARD;10;;75005;RUE DU SOMMERARD
MAIRIE DU  5E;Ecole maternelle & annexes;ECOLE MATERNELLE 97 RUE MOUFFETARD;97;;75005;RUE MOUFFETARD
MAIRIE DU  5E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE 10 RUE ROLLIN;10;;75005;RUE ROLLIN
MAIRIE DU  5E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE 19 RUE BOULANGERS;19;;75005;RUE DES BOULANGERS
MAIRIE DU  5E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE 21 RUE BUFFON;21;;75005;RUE BUFFON
MAIRIE DU  5E;Mairie d'arrondissement;MAIRIE DU 5E ARRONDISSEMENT;21;;75005;PLACE DU PANTHEON
MAIRIE DU  5E;Promenade ouverte, mail planté, jardin, square;JARDIN DE L'ECOLE POLYTECHNIQUE;11;;75005;RUE DESCARTES
MAIRIE DU  5E;Promenade ouverte, mail planté, jardin, square;SQUARE PAUL LANGEVIN;20;b;75005;RUE MONGE
MAIRIE DU  5E;Promenade ouverte, mail planté, jardin, square;SQUARE PAUL PAINLEVE;3;M;75005;PLACE PAUL PAINLEVE
MAIRIE DU  5E;Jardinet décoratif, plate-bande;JARDINET DE LA CHAPELLE SYRIENNE;17;;75005;RUE DES CARMES
MAIRIE DU  5E;Crèche collective;CRÈCHE COLLECTIVE 11, RUE VALETTE;11;;75005;RUE VALETTE
MAIRIE DU  5E;Crèche collective;CRÈCHE COLLECTIVE 39 BIS, RUE POLIVEAU;39;B;75005;RUE POLIVEAU
MAIRIE DU  5E;Halte-garderie;HALTE-GARDERIE 52, RUE LACÉPÈDE;52;;75005;RUE LACEPEDE
MAIRIE DU  5E;Gymnase;GYMNASE AMYOT;3;;75005;RUE AMYOT
MAIRIE DU  5E;Centre d'animation;CENTRE D'ANIMATION LES ATELIERS CENSIER;12;;75005;RUE CENSIER
MAIRIE DU  6E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE 9 RUE VAUGIRARD;9;;75006;RUE DE VAUGIRARD
MAIRIE DU  6E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE 12 RUE SAINT-BENOIT;12;;75006;RUE SAINT-BENOIT
MAIRIE DU  6E;Mairie d'arrondissement;MAIRIE DU 6E ARRONDISSEMENT;78;;75006;RUE BONAPARTE
MAIRIE DU  6E;Jardinet décoratif, plate-bande;JARDINET DE LA RUE JACOB;2;;75006;RUE JACOB
MAIRIE DU  6E;Crèche collective;CRÈCHE COLLECTIVE 10, RUE LOBINEAU;10;;75006;RUE LOBINEAU
MAIRIE DU  6E;Halte-garderie;HALTE-GARDERIE 6, RUE FÉLIBIEN;6;;75006;RUE FELIBIEN
MAIRIE DU  6E;Halte-garderie;HALTE-GARDERIE 85, BOULEVARD RASPAIL;85;;75006;BOULEVARD RASPAIL
MAIRIE DU  6E;Gymnase;GYMNASE SAINT-GERMAIN;12;;75006;RUE LOBINEAU
MAIRIE DU  6E;Centre d'animation;CENTRE D'ANIMATION SAINT-MICHEL;9;;75006;PLACE SAINT-MICHEL
